model,layer,feature_ind,importance
InceptionV1,mixed5a,300,3
InceptionV1,mixed5a,301,14
InceptionV1,mixed5a,302,2
InceptionV1,mixed5a,303,23
InceptionV1,mixed5a,304,23
InceptionV1,mixed5a,305,4
InceptionV1,mixed5a,306,-13
InceptionV1,mixed5a,307,17
InceptionV1,mixed5a,308,-1
InceptionV1,mixed5a,309,-11
InceptionV1,mixed5a,310,13
InceptionV1,mixed5a,311,35
InceptionV1,mixed5a,312,-14
InceptionV1,mixed5a,313,-3
InceptionV1,mixed5a,314,-5
InceptionV1,mixed5a,315,16
InceptionV1,mixed5a,316,15
InceptionV1,mixed5a,317,3
InceptionV1,mixed5a,318,-2
InceptionV1,mixed5a,319,11
InceptionV1,mixed5a,320,-5
InceptionV1,mixed5a,321,0
InceptionV1,mixed5a,322,0
InceptionV1,mixed5a,323,36
InceptionV1,mixed5a,324,17
InceptionV1,mixed5a,325,-8
InceptionV1,mixed5a,326,4
InceptionV1,mixed5a,327,-20
InceptionV1,mixed5a,328,-8
InceptionV1,mixed5a,329,13
InceptionV1,mixed5a,330,17
InceptionV1,mixed5a,331,1
InceptionV1,mixed5a,332,7
InceptionV1,mixed5a,333,29
InceptionV1,mixed5a,334,8
InceptionV1,mixed5a,335,16
InceptionV1,mixed5a,336,14
InceptionV1,mixed5a,337,48
InceptionV1,mixed5a,338,-10
InceptionV1,mixed5a,339,6
InceptionV1,mixed5a,340,0
InceptionV1,mixed5a,341,18
InceptionV1,mixed5a,342,3
InceptionV1,mixed5a,343,6
InceptionV1,mixed5a,344,-2
InceptionV1,mixed5a,345,8
InceptionV1,mixed5a,346,-13
InceptionV1,mixed5a,347,-23
InceptionV1,mixed5a,348,-11
InceptionV1,mixed5a,349,21
InceptionV1,mixed5a,350,23
InceptionV1,mixed5a,351,6
InceptionV1,mixed5a,352,4
InceptionV1,mixed5a,353,5
InceptionV1,mixed5a,354,1
InceptionV1,mixed5a,355,39
InceptionV1,mixed5a,356,27
InceptionV1,mixed5a,357,19
InceptionV1,mixed5a,358,-3
InceptionV1,mixed5a,359,12
InceptionV1,mixed5a,360,12
InceptionV1,mixed5a,361,-17
InceptionV1,mixed5a,362,16
InceptionV1,mixed5a,363,8
InceptionV1,mixed5a,364,19
InceptionV1,mixed5a,365,5
InceptionV1,mixed5a,366,-1
InceptionV1,mixed5a,367,0
InceptionV1,mixed5a,368,5
InceptionV1,mixed5a,369,-9
InceptionV1,mixed5a,370,17
InceptionV1,mixed5a,371,6
InceptionV1,mixed5a,372,-13
InceptionV1,mixed5a,373,18
InceptionV1,mixed5a,374,0
InceptionV1,mixed5a,375,10
InceptionV1,mixed5a,376,29
InceptionV1,mixed5a,377,9
InceptionV1,mixed5a,378,18
InceptionV1,mixed5a,379,29
InceptionV1,mixed5a,380,-6
InceptionV1,mixed5a,381,16
InceptionV1,mixed5a,382,6
InceptionV1,mixed5a,383,1
InceptionV1,mixed5a,384,14
InceptionV1,mixed5a,385,14
InceptionV1,mixed5a,386,-9
InceptionV1,mixed5a,387,-1
InceptionV1,mixed5a,388,8
InceptionV1,mixed5a,389,3
InceptionV1,mixed5a,390,9
InceptionV1,mixed5a,391,20
InceptionV1,mixed5a,392,9
InceptionV1,mixed5a,393,-7
InceptionV1,mixed5a,394,28
InceptionV1,mixed5a,395,13
InceptionV1,mixed5a,396,6
InceptionV1,mixed5a,397,-2
InceptionV1,mixed5a,398,3
InceptionV1,mixed5a,399,24
InceptionV1,mixed5a,400,7
InceptionV1,mixed5a,401,6
InceptionV1,mixed5a,402,36
InceptionV1,mixed5a,403,-9
InceptionV1,mixed5a,404,25
InceptionV1,mixed5a,405,-22
InceptionV1,mixed5a,406,6
InceptionV1,mixed5a,407,-16
InceptionV1,mixed5a,408,22
InceptionV1,mixed5a,409,5
InceptionV1,mixed5a,410,1
InceptionV1,mixed5a,411,-44
InceptionV1,mixed5a,412,12
InceptionV1,mixed5a,413,-1
InceptionV1,mixed5a,414,-1
InceptionV1,mixed5a,415,18
InceptionV1,mixed5a,416,6
InceptionV1,mixed5a,417,18
InceptionV1,mixed5a,418,-30
InceptionV1,mixed5a,419,38
InceptionV1,mixed5a,420,20
InceptionV1,mixed5a,421,3
InceptionV1,mixed5a,422,-6
InceptionV1,mixed5a,423,1
InceptionV1,mixed5a,424,7
InceptionV1,mixed5a,425,9
InceptionV1,mixed5a,426,11
InceptionV1,mixed5a,427,14
InceptionV1,mixed5a,428,34
InceptionV1,mixed5a,429,4
InceptionV1,mixed5a,430,22
InceptionV1,mixed5a,431,15
InceptionV1,mixed5a,432,4
InceptionV1,mixed5a,433,16
InceptionV1,mixed5a,434,3
InceptionV1,mixed5a,435,6
InceptionV1,mixed5a,436,-7
InceptionV1,mixed5a,437,8
InceptionV1,mixed5a,438,1
InceptionV1,mixed5a,439,4
InceptionV1,mixed5a,440,-12
InceptionV1,mixed5a,441,11
